trial,score,ema_fast_1m,ema_slow_1m,ema_fast_3m,ema_slow_3m,ema_trend_long,atr_period_3m,atr_mult_stop,tp_rr,min_atr_pct,min_ema_gap_pct
1,-2.319410555731025,12,20,13,89,200,10,1.5,1.2,0.0018,0.0002
2,-2.0,12,20,34,55,150,10,1.5,1.2,0.0008,0.0008
3,-2.0,12,20,34,34,233,20,2.5,2.0,0.0012,0.0002
4,-2.2442716478036133,9,26,13,34,233,14,2.0,1.5,0.0008,0.0002
5,-2.7010373727279813,9,20,13,55,150,14,2.0,2.0,0.0012,0.0002
6,-2.0,12,30,34,34,200,10,2.5,1.5,0.0018,0.0008
7,-2.0,9,21,34,34,150,20,1.5,1.5,0.0008,0.0002
8,-3.1863757381684676,7,30,21,55,233,14,1.5,1.5,0.0012,0.0002
9,-3.8782872180917627,12,26,34,89,233,10,2.5,2.0,0.0008,0.0008
10,-4.525152785280225,12,21,13,55,200,14,2.5,2.0,0.0018,0.0002
11,-9.636496365398932,12,26,13,34,150,14,2.0,1.5,0.0008,0.0002
12,-5.230311399495745,12,26,13,89,200,14,2.5,1.5,0.0008,0.0004
13,-3.98052988790605,7,21,34,89,233,14,2.5,2.0,0.0012,0.0008
14,-1.6793802055612734,9,26,13,34,233,14,1.5,1.2,0.0008,0.0002
15,-5.447303153695291,12,21,34,55,233,10,2.0,1.5,0.0018,0.0004
16,-2.0,12,26,34,34,233,20,1.5,2.0,0.0018,0.0004
17,-3.902533297082205,12,26,13,55,200,10,2.0,1.2,0.0018,0.0008
18,-2.0,9,21,34,34,233,14,2.5,2.0,0.0018,0.0002
19,-6.979305752770022,7,26,13,89,233,10,2.5,1.5,0.0012,0.0002
20,-2.3044919409488256,7,26,21,34,150,10,2.5,1.2,0.0008,0.0008
21,-2.0,9,20,34,34,150,20,2.0,2.0,0.0008,0.0004
22,-3.164667813867027,12,30,13,89,233,20,1.5,2.0,0.0012,0.0004
23,-4.778000332122234,12,26,21,89,200,10,1.5,1.2,0.0008,0.0004
24,-2.0,7,21,34,34,150,10,2.5,2.0,0.0008,0.0002
25,-5.62037844227118,7,20,21,34,233,10,2.0,2.0,0.0012,0.0002
26,-4.599247393793385,12,21,34,89,233,14,1.5,1.5,0.0012,0.0002
27,-6.595013773658317,7,20,34,55,200,14,2.0,1.5,0.0018,0.0002
28,-2.4916208362887096,12,20,13,55,233,14,1.5,1.2,0.0008,0.0002
29,-5.3405192034153535,12,30,13,55,150,14,2.0,1.2,0.0008,0.0004
30,-4.800930922074671,12,20,13,89,233,10,1.5,1.2,0.0008,0.0004
31,-1.90443281604257,9,30,13,55,150,10,2.0,1.2,0.0012,0.0004
32,-1.3300908279941295,9,26,21,89,233,20,2.5,2.0,0.0012,0.0002
33,1.4136007157587471,7,26,13,34,233,20,2.5,1.2,0.0018,0.0004
34,-5.072938309664561,7,20,34,55,233,20,1.5,1.2,0.0018,0.0002
35,-2.0,7,20,34,34,233,10,2.0,1.2,0.0018,0.0002
36,-2.0,12,20,34,34,200,20,2.5,2.0,0.0018,0.0004
37,-5.447303153695291,9,21,34,89,200,10,2.0,1.5,0.0008,0.0008
38,-3.189019258500144,12,26,21,55,150,10,2.0,2.0,0.0018,0.0002
39,-7.140906989345144,7,21,34,55,150,14,1.5,1.2,0.0012,0.0004
40,-4.147212350558772,7,30,34,89,200,20,2.5,2.0,0.0008,0.0008
41,-2.0,12,26,34,34,150,14,1.5,1.2,0.0018,0.0008
42,-5.601880526599147,7,26,21,89,150,20,2.0,1.2,0.0018,0.0008
43,-0.030352973413809936,9,30,21,34,150,20,2.0,1.5,0.0008,0.0002
44,-5.601880526599147,9,21,34,55,150,20,2.0,2.0,0.0018,0.0004
45,-2.0,12,20,13,34,233,10,2.5,1.2,0.0012,0.0008
46,-5.406185812385609,12,21,21,34,150,14,2.0,1.2,0.0012,0.0002
47,-2.0,12,21,34,34,200,20,2.0,2.0,0.0018,0.0002
48,-2.551743091778106,7,21,13,55,150,10,2.5,1.5,0.0012,0.0008
49,-4.628063518342286,12,21,21,34,233,10,2.0,1.2,0.0012,0.0002
50,0.877263176774342,7,30,21,55,150,10,1.5,2.0,0.0008,0.0004
51,-5.1477603368332625,9,26,13,55,200,20,2.5,1.5,0.0018,0.0008
