trial,score,ema_fast_1m,ema_slow_1m,ema_fast_3m,ema_slow_3m,ema_trend_long,atr_period_3m,atr_mult_stop,tp_rr,min_atr_pct,min_ema_gap_pct
78,-2.0,12,20,13,55,150,20,1.5,1.5,0.0018,0.0008
79,-2.0,9,30,34,34,150,20,2.5,2.0,0.0008,0.0002
80,-4.472704843520746,12,26,34,89,150,20,1.5,1.5,0.0018,0.0004
81,-8.780681246655709,12,26,13,89,233,14,1.5,1.5,0.0012,0.0002
82,-3.632768814675006,9,26,34,55,233,10,2.0,1.2,0.0018,0.0008
83,-4.443401674771064,12,26,34,89,200,14,2.0,2.0,0.0018,0.0004
84,-3.540003745332415,9,21,13,55,200,10,2.0,2.0,0.0018,0.0008
85,-8.046678521357823,9,26,13,55,200,10,2.0,1.2,0.0012,0.0004
86,-17.287132611105868,9,26,34,89,200,20,1.5,2.0,0.0008,0.0002
87,-10.699451926919181,7,30,21,89,150,20,2.0,2.0,0.0018,0.0004
88,-3.338835617917475,9,20,13,55,150,14,2.5,1.2,0.0012,0.0008
89,-4.443401674771064,12,26,21,89,233,14,2.0,2.0,0.0018,0.0004
90,-8.987662056095711,9,30,21,55,200,10,1.5,2.0,0.0008,0.0004
91,-4.315451671577707,7,21,13,34,233,14,2.0,2.0,0.0018,0.0008
92,-10.347662608706514,12,26,13,34,200,10,2.0,1.2,0.0012,0.0002
93,-2.486793582233107,12,21,21,34,150,20,2.0,2.0,0.0008,0.0008
94,-13.585767929787528,9,20,13,89,200,14,2.0,1.5,0.0012,0.0002
95,-4.395268550582115,7,26,21,34,150,14,2.0,1.2,0.0018,0.0008
96,-2.0,12,20,13,34,233,14,1.5,1.2,0.0008,0.0008
97,-5.931182415361189,9,21,34,55,200,14,2.0,2.0,0.0012,0.0004
98,-2.0,12,20,34,89,150,10,2.5,1.2,0.0012,0.0008
99,-10.723481801406596,7,21,13,34,233,10,1.5,1.2,0.0012,0.0004
100,-3.6962179137739724,12,30,21,34,150,14,2.5,1.5,0.0018,0.0004
101,-4.100149582974286,7,21,21,89,233,20,1.5,1.5,0.0008,0.0008
102,-4.528384783165561,7,21,21,34,150,10,1.5,1.5,0.0018,0.0008
103,-4.309806998295192,12,26,21,34,200,20,2.0,2.0,0.0012,0.0004
104,-3.2585893940802313,12,30,21,34,233,10,2.0,2.0,0.0012,0.0008
105,-4.844480602358405,9,20,13,34,233,20,2.5,1.2,0.0018,0.0004
106,-2.0,12,20,13,55,233,20,2.0,1.5,0.0008,0.0008
107,-17.14801740515478,9,30,13,55,200,14,2.0,1.5,0.0018,0.0002
