time,equity
2023-01-01 00:00:00+00:00,10000.0
2023-01-01 00:01:00+00:00,10000.0
2023-01-01 00:02:00+00:00,9991.290281923715
2023-01-01 00:03:00+00:00,9991.70487562189
2023-01-01 00:04:00+00:00,9991.20736318408
2023-01-01 00:05:00+00:00,9990.709850746269
2023-01-01 00:06:00+00:00,9990.544013267
2023-01-01 00:07:00+00:00,9990.129419568822
2023-01-01 00:08:00+00:00,9988.471044776119
2023-01-01 00:09:00+00:00,9987.973532338308
2023-01-01 00:10:00+00:00,9987.973532338308
2023-01-01 00:11:00+00:00,9987.64185737977
2023-01-01 00:12:00+00:00,9986.895588723051
2023-01-01 00:13:00+00:00,9986.646832504146
2023-01-01 00:14:00+00:00,9986.149320066335
2023-01-01 00:15:00+00:00,9986.646832504146
2023-01-01 00:16:00+00:00,9986.729751243782
2023-01-01 00:17:00+00:00,9985.73472636816
2023-01-01 00:18:00+00:00,9986.895588723051
2023-01-01 00:19:00+00:00,9988.056451077944
2023-01-01 00:20:00+00:00,9988.885638474296
2023-01-01 00:21:00+00:00,9990.544013267
2023-01-01 00:22:00+00:00,9988.968557213931
2023-01-01 00:23:00+00:00,9990.709850746269
2023-01-01 00:24:00+00:00,9989.548988391376
2023-01-01 00:25:00+00:00,9991.20736318408
2023-01-01 00:26:00+00:00,9991.20736318408
2023-01-01 00:27:00+00:00,9992.616981757878
2023-01-01 00:28:00+00:00,9992.119469320067
2023-01-01 00:29:00+00:00,9992.451144278606
2023-01-01 00:30:00+00:00,9990.792769485903
2023-01-01 00:31:00+00:00,9990.626932006635
2023-01-01 00:32:00+00:00,9989.797744610281
2023-01-01 00:33:00+00:00,9990.378175787728
2023-01-01 00:34:00+00:00,9989.300232172473
2023-01-01 00:35:00+00:00,9987.025321948284
2023-01-01 00:36:00+00:00,9989.001010515858
2023-01-01 00:37:00+00:00,9990.12787105856
2023-01-01 00:38:00+00:00,9991.16372171011
2023-01-01 00:39:00+00:00,9991.412477929016
2023-01-01 00:40:00+00:00,9991.16372171011
2023-01-01 00:41:00+00:00,9990.99788423084
2023-01-01 00:42:00+00:00,9990.251615574123
2023-01-01 00:43:00+00:00,9990.83204675157
2023-01-01 00:44:00+00:00,9990.16869683449
2023-01-01 00:45:00+00:00,9990.583290532666
2023-01-01 00:46:00+00:00,9992.075827846098
2023-01-01 00:47:00+00:00,9992.822096502814
2023-01-01 00:48:00+00:00,9992.324584065003
2023-01-01 00:49:00+00:00,9992.739177763178
2023-01-01 00:50:00+00:00,9992.822096502814
2023-01-01 00:51:00+00:00,9993.90004011807
2023-01-01 00:52:00+00:00,9993.817121378435
2023-01-01 00:53:00+00:00,9993.236690200989
2023-01-01 00:54:00+00:00,9993.56836515953
2023-01-01 00:55:00+00:00,9993.90004011807
2023-01-01 00:56:00+00:00,9993.7342026388
2023-01-01 00:57:00+00:00,9994.314633816246
2023-01-01 00:58:00+00:00,9993.319608940625
2023-01-01 00:59:00+00:00,9993.319608940625
2023-01-01 01:00:00+00:00,9993.07085272172
2023-01-01 01:01:00+00:00,9993.236690200989
2023-01-01 01:02:00+00:00,9994.148796336976
2023-01-01 01:03:00+00:00,9994.480471295516
2023-01-01 01:04:00+00:00,9993.651283899166
2023-01-01 01:05:00+00:00,8338.437309348963
2023-01-01 01:06:00+00:00,8337.03419602462
2023-01-01 01:07:00+00:00,8338.195058379513
2023-01-01 01:08:00+00:00,8340.178602881302
2023-01-01 01:09:00+00:00,8336.05218164791
2023-01-01 01:10:00+00:00,8338.450319847874
2023-01-01 01:11:00+00:00,8337.952807410064
2023-01-01 01:12:00+00:00,8340.01276540203
2023-01-01 01:13:00+00:00,8339.190083255135
2023-01-01 01:14:00+00:00,8339.598171703856
2023-01-01 01:15:00+00:00,8337.621132451524
2023-01-01 01:16:00+00:00,8336.791945055173
2023-01-01 01:17:00+00:00,8336.300937866818
